"state","lsm_bti_kg_quantity","lsm_bti_kg_proprotion","lsm_bti_procurement_cost","lsm_operational_cost","lsm_total_cost","admin_landmass_2perc_coverage_hectares"
"Benue",81741.6,0.0369668928021794,8370340597.08196,823515000,9193855597.08196,6811.8
"Federal Capital Territory",17556,0.00793954082174881,1797734562.6018,214830000,2012564562.6018,1463
"Kogi",77856,0.0352096656537979,7972455121.09395,751905000,8724360121.09395,6488
"Kwara",90480,0.0409187544743582,9265152838.01609,572880000,9838032838.01609,7540
"Nasarawa",65080.8,0.0294321980127631,6664274522.77142,465465000,7129739522.77142,5423.4
"Niger",33432,0.0151193169715599,3423437109.64361,895125000,4318562109.64361,2786
"Plateau",139272,0.0629844913036341,14261454089.9224,608685000,14870139089.9224,11606
"Adamawa",88600.8,0.0400689034198907,9072722740.61114,751905000,9824627740.61114,7383.4
"Bauchi",155052,0.0701208523293345,15877326236.0751,716100000,16593426236.0751,12921
"Borno",170712,0.0772029444498965,17480910381.1163,966735000,18447645381.1163,14226
"Gombe",45043.2,0.0203703762327521,4612424097.18531,393855000,5006279097.18531,3753.6
"Taraba",134208,0.0606943435067933,13742900443.0202,572880000,14315780443.0202,11184
"Yobe",108648,0.0491350667123128,11125556206.2862,608685000,11734241206.2862,9054
"Jigawa",54240,0.0245295451225595,5554176502.36508,966735000,6520911502.36508,4520
"Kaduna",104304,0.0471705323463025,10680730566.0525,823515000,11504245566.0525,8692
"Kano",49632,0.0224456191652447,5082317259.68628,1575420000,6657737259.68628,4136
"Katsina",64284,0.0290718524826441,6582682195.39154,1217370000,7800052195.39154,5357
"Kebbi",100452,0.0454285004913597,10286285730.3757,751905000,11038190730.3757,8371
"Sokoto",62335.2,0.0281905254631964,6383125057.34196,823515000,7206640057.34196,5194.6
"Zamfara",95428.8,0.043156804122266,9771910003.85135,501270000,10273180003.8513,7952.4
"Abia",13008,0.00588274931700322,1332019320.47871,608685000,1940704320.47871,1084
"Anambra",11625.6,0.00525757152980878,1190461547.67507,751905000,1942366547.67507,968.8
"Ebonyi",13272,0.00600214090830771,1359052922.92385,465465000,1824517922.92385,1106
"Enugu",29856,0.0135021035984354,3057254676.52308,608685000,3665939676.52308,2488
"Imo",13032,0.0058936030980309,1334476920.70099,966735000,2301211920.70099,1086
"Akwa Ibom",14848.8,0.00671523432182637,1520517257.528,1109955000,2630472257.528,1237.4
"Bayelsa",25855.2,0.011692778301121,2647572719.4681,286440000,2934012719.4681,2154.6
"Cross River",50520,0.0228472090632689,5173248467.91084,644490000,5817738467.91084,4210
"Delta",43320,0.0195910747549646,4435968401.22521,895125000,5331093401.22521,3610
"Edo",41880,0.0189398478933037,4288512387.88809,644490000,4933002387.88809,3490
"Rivers",26584.8,0.0120227332443625,2722283766.22558,823515000,3545798766.22558,2215.4
"Ekiti",15247.2,0.00689540708688587,1561313421.21794,572880000,2134193421.21794,1270.6
"Lagos",8028,0.00363058975375937,822067274.354478,716100000,1538167274.35448,669
"Ogun",40228.8,0.0181931077585992,4119429492.59485,716100000,4835529492.59485,3352.4
"Ondo",35054.4,0.0158530325690312,3589570884.67011,644490000,4234060884.67011,2921.2
"Osun",24588,0.0111196986628594,2517811427.73143,1074150000,3591961427.73143,2049
"Oyo",65904,0.0298044827020126,6748570210.39581,1181565000,7930135210.39581,5492
