"intervention","title","state_count","lga_count","currency","total_cost","intervention_type","target_value","target","cost_per_target"
"cb","Capacity Building",NA,NA,"Naira",17539672818,"Support Services",NA,NA,NA
"cb","Capacity Building",NA,NA,"USD",10962295.51125,"Support Services",NA,NA,NA
"gc","Governance & Coordination",NA,NA,"Naira",7524109700,"Support Services",NA,NA,NA
"gc","Governance & Coordination",NA,NA,"USD",4702568.5625,"Support Services",NA,NA,NA
"me","Monitoring & Evaluation",NA,NA,"Naira",9118142934,"Support Services",NA,NA,NA
"me","Monitoring & Evaluation",NA,NA,"USD",5698839.33375,"Support Services",NA,NA,NA
"rm","Resource Mobilisation",NA,NA,"Naira",105450000,"Support Services",NA,NA,NA
"rm","Resource Mobilisation",NA,NA,"USD",65906.25,"Support Services",NA,NA,NA
"ss_sbc","Social Behaviour Change",NA,NA,"Naira",14927760000,"Support Services",NA,NA,NA
"ss_sbc","Social Behaviour Change",NA,NA,"USD",9329850,"Support Services",NA,NA,NA
