"","title","scenario","state_count","lga_count","total_cost","currency","intervention_type"
"1","Capacity Building","scenario 1",NA,NA,17539673600,"Naira","Support Services"
"2","Capacity Building","scenario 1",NA,NA,10962296,"USD","Support Services"
"3","Entomological surveillance","scenario 1",26,NA,3.52e+09,"Naira","Support Services"
"4","Entomological surveillance","scenario 1",26,NA,2200000,"USD","Support Services"
"5","Governance & Coordination","scenario 1",NA,NA,7524110400,"Naira","Support Services"
"6","Governance & Coordination","scenario 1",NA,NA,4702569,"USD","Support Services"
"7","IPTp","scenario 1",37,774,23415675200,"Naira","Malaria Interventions"
"8","IPTp","scenario 1",37,774,14634797,"USD","Malaria Interventions"
"9","IRS","scenario 1",37,774,212890752000,"Naira","Malaria Interventions"
"10","IRS","scenario 1",37,774,133056720,"USD","Malaria Interventions"
"11","ITN Campaign","scenario 1",17,363,425781505600,"Naira","Malaria Interventions"
"12","ITN Campaign","scenario 1",17,363,266113441,"USD","Malaria Interventions"
"13","ITN Routine Distribution","scenario 1",37,774,117774499200,"Naira","Malaria Interventions"
"14","ITN Routine Distribution","scenario 1",37,774,73609062,"USD","Malaria Interventions"
"15","LSM","scenario 1",37,774,254141097600,"Naira","Malaria Interventions"
"16","LSM","scenario 1",37,774,158838186,"USD","Malaria Interventions"
"17","Malaria Vaccine","scenario 1",37,774,203307697600,"Naira","Malaria Interventions"
"18","Malaria Vaccine","scenario 1",37,774,127067311,"USD","Malaria Interventions"
"19","Monitoring & Evaluation","scenario 1",NA,NA,9118142400,"Naira","Support Services"
"20","Monitoring & Evaluation","scenario 1",NA,NA,5698839,"USD","Support Services"
"21","PMC","scenario 1",21,384,50853996800,"Naira","Malaria Interventions"
"22","PMC","scenario 1",21,384,31783748,"USD","Malaria Interventions"
"23","Private Sector CM","scenario 1",37,774,347020628800,"Naira","Malaria Interventions"
"24","Private Sector CM","scenario 1",37,774,216887893,"USD","Malaria Interventions"
"25","Public Sector CM","scenario 1",37,774,254401604800,"Naira","Malaria Interventions"
"26","Public Sector CM","scenario 1",37,774,159001003,"USD","Malaria Interventions"
"27","Resource Mobilisation","scenario 1",NA,NA,105449600,"Naira","Support Services"
"28","Resource Mobilisation","scenario 1",NA,NA,65906,"USD","Support Services"
"29","SMC","scenario 1",21,385,96716492800,"Naira","Malaria Interventions"
"30","SMC","scenario 1",21,385,60447808,"USD","Malaria Interventions"
"31","Social Behaviour Change","scenario 1",NA,NA,14927760000,"Naira","Support Services"
"32","Social Behaviour Change","scenario 1",NA,NA,9329850,"USD","Support Services"
