"intervention","total_cost","target_value","state_count","lga_count","intervention_type","title","currency","target","cost_per_target"
"cm_private",346797599738.79,258135070.16184,37,774,"Malaria Interventions","Private Sector Case Management","Naira","Population",1343.47339755641
"cm_private",216748499.836744,258135070.16184,37,774,"Malaria Interventions","Private Sector Case Management","USD","Population",0.839670873472755
"cm_public",254372135065.919,258135070.16184,37,774,"Malaria Interventions","Public Sector Case Management","Naira","Population",985.422611915682
"cm_public",158982584.416199,258135070.16184,37,774,"Malaria Interventions","Public Sector Case Management","USD","Population",0.615889132447301
"ento_surveillance",297962833,NA,NA,NA,"Malaria Interventions","Entomological Surveillance","Naira","Population",NA
"ento_surveillance",186226.770625,NA,NA,NA,"Malaria Interventions","Entomological Surveillance","USD","Population",NA
"iptp",23410905732.3036,12906753.508092,37,774,"Malaria Interventions","IPTp","Naira","Population",1813.84929352109
"iptp",14631816.0826898,12906753.508092,37,774,"Malaria Interventions","IPTp","USD","Population",1.13365580845068
"irs",166998504318.723,NA,NA,NA,"Malaria Interventions","IRS","Naira","Population",NA
"irs",104374065.199202,NA,NA,NA,"Malaria Interventions","IRS","USD","Population",NA
"itn_campaign",287184275025.183,79246085.8887516,12,269,"Malaria Interventions","ITN Campaign","Naira","Population",3623.95532605033
"itn_campaign",179490171.890739,79246085.8887516,12,269,"Malaria Interventions","ITN Campaign","USD","Population",2.26497207878146
"itn_campaign_urban",46812739055.5731,12989759.477911,5,24,"Malaria Interventions","ITN Campaign Urban","Naira","Population",3603.81877240897
"itn_campaign_urban",29257961.9097332,12989759.477911,5,24,"Malaria Interventions","ITN Campaign Urban","USD","Population",2.25238673275561
"itn_routine",58620661541.9543,26073815.011334,25,419,"Malaria Interventions","ITN Routine Distribution","Naira","Population",2248.25793680259
"itn_routine",36637913.4637214,26073815.011334,25,419,"Malaria Interventions","ITN Routine Distribution","USD","Population",1.40516121050162
"itn_routine_urban",16030096185.8836,7275771.98045874,14,62,"Malaria Interventions","ITN Routine Distribution Urban","Naira","Population",2203.2158551611
"itn_routine_urban",10018810.1161772,7275771.98045874,14,62,"Malaria Interventions","ITN Routine Distribution Urban","USD","Population",1.37700990947569
"lsm",254141117360.002,184267.6,37,37,"Malaria Interventions","LSM","Naira","Area (Hectares)",1379195.89423209
"lsm",158838198.350001,184267.6,37,37,"Malaria Interventions","LSM","USD","Area (Hectares)",861.997433895059
"pmc",35565426368.0919,9160857.57068044,20,363,"Malaria Interventions","PMC","Naira","Population",3882.325
"pmc",22228391.4800575,9160857.57068044,20,363,"Malaria Interventions","PMC","USD","Population",2.426453125
"smc",95763150457.0785,23913978.7854207,21,385,"Malaria Interventions","SMC","Naira","Population",4004.48421052632
"smc",59851969.035674,23913978.7854207,21,385,"Malaria Interventions","SMC","USD","Population",2.50280263157895
"vacc",201193762391.16,8260322.24517889,37,774,"Malaria Interventions","Malaria Vaccine","Naira","Population",24356.6481330176
"vacc",125746101.494475,8260322.24517889,37,774,"Malaria Interventions","Malaria Vaccine","USD","Population",15.222905083136
"cb",17539672818,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb",10962295.51125,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc",7524109700,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc",4702568.5625,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
"me",9118142934,NA,NA,NA,"Support Services","Monitoring & Evaluation","Naira","Population",NA
"me",5698839.33375,NA,NA,NA,"Support Services","Monitoring & Evaluation","USD","Population",NA
"rm",105450000,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm",65906.25,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc",14927760000,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc",9329850,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
