"state","prev_u5_state","year"
"Benue",26,2018
"Federal Capital Territory",31.3,2018
"Kogi",46,2018
"Kwara",43.7,2018
"Nasarawa",32.1,2018
"Niger",43.8,2018
"Plateau",37.2,2018
"Adamawa",38.9,2018
"Bauchi",48.6,2018
"Borno",16.2,2018
"Gombe",52,2018
"Taraba",35.2,2018
"Yobe",30.3,2018
"Jigawa",49.4,2018
"Kaduna",34.3,2018
"Kano",43,2018
"Katsina",55.4,2018
"Kebbi",76.8,2018
"Sokoto",54.7,2018
"Zamfara",51.8,2018
"Abia",20.7,2018
"Anambra",15.2,2018
"Ebonyi",49.3,2018
"Enugu",30.2,2018
"Imo",15.6,2018
"Akwa Ibom",33.2,2018
"Bayelsa",30.1,2018
"Cross River",26.4,2018
"Delta",24.9,2018
"Edo",19.1,2018
"Rivers",22.3,2018
"Ekiti",46.3,2018
"Lagos",3.4,2018
"Ogun",32.2,2018
"Ondo",41.6,2018
"Osun",54.9,2018
"Oyo",33.9,2018
"Abia",26.4204568,2021
"Adamawa",27.880476,2021
"Akwa Ibom",33.5014774,2021
"Anambra",20.1623637,2021
"Bauchi",59.6393853,2021
"Bayelsa",26.8688488,2021
"Benue",33.8398286,2021
"Borno",18.7641141,2021
"Cross River",40.5583512,2021
"Delta",18.8913514,2021
"Ebonyi",30.1870185,2021
"Edo",30.0552661,2021
"Ekiti",36.5224227,2021
"Enugu",30.1392056,2021
"Federal Capital Territory",34.5613966,2021
"Gombe",33.0798232,2021
"Imo",26.5029132,2021
"Jigawa",54.2681559,2021
"Kaduna",31.8972308,2021
"Kano",54.0345657,2021
"Katsina",49.4754136,2021
"Kebbi",75.7301364,2021
"Kogi",27.7335218,2021
"Kwara",17.6124674,2021
"Lagos",3.2266555,2021
"Nasarawa",29.9390006,2021
"Niger",42.5528229,2021
"Ogun",35.6011803,2021
"Ondo",45.0494036,2021
"Osun",27.5532013,2021
"Oyo",29.3535671,2021
"Plateau",26.4344279,2021
"Rivers",33.8400124,2021
"Sokoto",40.2253756,2021
"Taraba",24.5245321,2021
"Yobe",62.6054811,2021
"Zamfara",59.6221053,2021
