"state","pop_2025_projected","currency","full_cost","cost_per_person"
"Benue",7514013.71978729,"Naira",41278376035.0327,5493.51885348983
"Benue",7514013.71978729,"USD",25798985.0218954,3.43344928343114
"Federal Capital Territory",7591580.10009313,"Naira",30606791626.2235,4031.6760440752
"Federal Capital Territory",7591580.10009313,"USD",19129244.7663897,2.519797527547
"Kogi",5843437.93765221,"Naira",35966952038.439,6155.10123016553
"Kogi",5843437.93765221,"USD",22479345.0240244,3.84693826885345
"Kwara",4117163.43478859,"Naira",26328723017.0035,6394.869534334
"Kwara",4117163.43478859,"USD",16455451.8856272,3.99679345895875
"Nasarawa",3308329.9852746,"Naira",30082147220.3141,9092.84967165004
"Nasarawa",3308329.9852746,"USD",18801342.0126963,5.68303104478127
"Niger",7492169.35894569,"Naira",58739452922.6792,7840.11280424994
"Niger",7492169.35894569,"USD",36712158.0766745,4.90007050265621
"Plateau",5560765.19568392,"Naira",35480445820.3104,6380.49703084913
"Plateau",5560765.19568392,"USD",22175278.637694,3.98781064428071
"Adamawa",5462278.9412483,"Naira",32918020828.0551,6026.42618257285
"Adamawa",5462278.9412483,"USD",20573763.0175344,3.76651636410803
"Bauchi",8766603.89092317,"Naira",62432802134.8186,7121.66340713315
"Bauchi",8766603.89092317,"USD",39020501.3342617,4.45103962945822
"Borno",7974905.60246315,"Naira",55893139450.0522,7008.62709055627
"Borno",7974905.60246315,"USD",34933212.1562826,4.38039193159767
"Gombe",4326643.4749778,"Naira",29182261762.9858,6744.78078255236
"Gombe",4326643.4749778,"USD",18238913.6018662,4.21548798909523
"Taraba",3957663.14857288,"Naira",42868960166.8045,10831.8870397707
"Taraba",3957663.14857288,"USD",26793100.1042528,6.76992939985666
"Yobe",4487419.12051907,"Naira",50666197412.2045,11290.7210250385
"Yobe",4487419.12051907,"USD",31666373.3826278,7.05670064064907
"Jigawa",7521081.09911654,"Naira",44185068038.0543,5874.829357078
"Jigawa",7521081.09911654,"USD",27615667.523784,3.67176834817375
"Kaduna",10859338.5914622,"Naira",94156483950.2862,8670.55421076139
"Kaduna",10859338.5914622,"USD",58847802.4689289,5.41909638172587
"Kano",17615090.1229849,"Naira",144859837563.271,8223.62171024329
"Kano",17615090.1229849,"USD",90537398.4770443,5.13976356890206
"Katsina",10248439.3423184,"Naira",100696130977.469,9825.50880324471
"Katsina",10248439.3423184,"USD",62935081.860918,6.14094300202794
"Kebbi",5892122.00035843,"Naira",52033292851.802,8830.99379962546
"Kebbi",5892122.00035843,"USD",32520808.0323763,5.51937112476591
"Sokoto",6528689.40120401,"Naira",59186058873.9947,9065.53447971957
"Sokoto",6528689.40120401,"USD",36991286.7962467,5.66595904982473
"Zamfara",5965390.03051833,"Naira",33617879366.34,5635.48723459059
"Zamfara",5965390.03051833,"USD",21011174.6039625,3.52217952161912
"Abia",4781906.15232638,"Naira",21970419449.7524,4594.48988539097
"Abia",4781906.15232638,"USD",13731512.1560953,2.87155617836936
"Anambra",7060244.39591034,"Naira",59437079410.5614,8418.55834976342
"Anambra",7060244.39591034,"USD",37148174.6316009,5.26159896860214
"Ebonyi",3692514.81895257,"Naira",17088115957.2837,4627.77180191006
"Ebonyi",3692514.81895257,"USD",10680072.4733023,2.89235737619379
"Enugu",5730171.95996931,"Naira",26963600073.5003,4705.54815141093
"Enugu",5730171.95996931,"USD",16852250.0459377,2.94096759463183
"Imo",7132434.57603839,"Naira",25413930822.6445,3563.14951812153
"Imo",7132434.57603839,"USD",15883706.7641528,2.22696844882596
"Akwa Ibom",7311230.12394508,"Naira",53613597219.827,7333.04742306449
"Akwa Ibom",7311230.12394508,"USD",33508498.2623919,4.58315463941531
"Bayelsa",2966900.42968161,"Naira",16340164632.0952,5507.48669170833
"Bayelsa",2966900.42968161,"USD",10212602.8950595,3.44217918231771
"Cross River",4970920.40758239,"Naira",27940794336.6143,5620.84926847648
"Cross River",4970920.40758239,"USD",17462996.4603839,3.5130307927978
"Delta",7509540.13384663,"Naira",57354717617.2993,7637.58054355325
"Delta",7509540.13384663,"USD",35846698.5108121,4.77348783972078
"Edo",5444005.0685711,"Naira",27593164207.2557,5068.54124118186
"Edo",5444005.0685711,"USD",17245727.6295348,3.16783827573866
"Rivers",9830697.1567989,"Naira",50165581693.5724,5102.95260788071
"Rivers",9830697.1567989,"USD",31353488.5584828,3.18934537992545
"Ekiti",4292767.95937338,"Naira",17737794388.3977,4132.01797913785
"Ekiti",4292767.95937338,"USD",11086121.4927486,2.58251123696115
"Lagos",16703293.9146234,"Naira",59737758183.4807,3576.40585676227
"Lagos",16703293.9146234,"USD",37336098.8646754,2.23525366047642
"Ogun",6964150.41336753,"Naira",32423973043.1802,4655.84042828011
"Ogun",6964150.41336753,"USD",20264983.1519876,2.90990026767507
"Ondo",6079873.18726477,"Naira",27105707128.0254,4458.26850217904
"Ondo",6079873.18726477,"USD",16941066.9550159,2.7864178138619
"Osun",6228070.94022188,"Naira",28264626848.4618,4538.26347190819
"Osun",6228070.94022188,"USD",17665391.7802886,2.83641466994262
"Oyo",10437654.3831539,"Naira",52677526236.846,5046.87397217004
"Oyo",10437654.3831539,"USD",32923453.8980287,3.15429623260628
