,region,mic_rate,mic_tested,rdt_rate,rdt_tested
1,abia,0.145086335,231,0.264204568,231
2,adamawa,0.106681554,261,0.27880476,261
3,akwa ibom,0.301110998,155,0.335014774,156
4,anambra,0.054473061,194,0.201623637,196
5,bauchi,0.317144093,416,0.596393853,416
6,bayelsa,0.16616593,245,0.268688488,245
7,benue,0.174979838,317,0.338398286,321
8,borno,0.057164069,343,0.187641141,344
9,croriver,0.236486902,237,0.405583512,237
10,delta,0.099981616,347,0.188913514,349
11,ebonyi,0.257024793,301,0.301870185,303
12,edo,0.224781604,105,0.300552661,105
13,ekiti,0.208138872,150,0.365224227,150
14,enugu,0.242453737,223,0.301392056,224
15,fct,0.187913239,243,0.345613966,243
16,gombe,0.177468509,259,0.330798232,264
17,imo,0.159115462,196,0.265029132,198
18,jigawa,0.252768987,398,0.542681559,400
19,kaduna,0.160072526,424,0.318972308,425
20,kano,0.254848683,521,0.540345657,531
21,katsina,0.293052516,448,0.494754136,452
22,kebbi,0.4926949,395,0.757301364,395
23,kogi,0.158904528,204,0.277335218,206
24,kwara,0.05644395,170,0.176124674,170
25,lagos,0.025627009,180,0.032266555,181
26,nasarawa,0.152761511,452,0.299390006,452
27,niger,0.207370417,363,0.425528229,375
28,ogun,0.248964434,172,0.356011803,173
29,ondo,0.269434748,211,0.450494036,211
30,osun,0.193305324,148,0.275532013,149
31,oyo,0.207407738,179,0.293535671,179
32,plateau,0.188311415,325,0.264344279,326
33,rivers,0.086498805,349,0.338400124,349
34,sokoto,0.358435588,373,0.402253756,377
35,taraba,0.178531489,388,0.245245321,389
36,yobe,0.204300524,372,0.626054811,374
37,zamfara,0.367365066,360,0.596221053,360
