"spatial_level_1","spatial_level_2","spatial_level_3","state","code_case_management","code_smc","code_pmc","code_iptp","code_vaccine","code_vaccine_priority","code_vaccine_1","code_vaccine_1_priority","code_vaccine_2","code_vaccine_3","code_vaccine_4","code_vaccine_5","code_urban_nets","code_nets","code_irs","code_lsm","code_intervention_counts","code_intervention_mix","pop_2006_census","pop_annual_growth_percent","pop_2025_projected","pop_percent_pop_u5","pop_number_children_u5","pop_u5_smc_population","pop_u5_smc_pop_coded","pop_number_pw","pop_number_pw_children_u5","pop_number_children_u1","pop_number_children_1_2_yrs","pop_number_children_0_2_yrs","pop_number_children_5_36_mons","admin_number_states","admin_proportion_states","admin_number_lgas","admin_proportion_lgas","admin_number_wards","admin_proportion_wards","admin_landmass_sqkm","admin_landmass_2perc_coverage_sqkm","admin_landmass_2perc_coverage_hectares","admin_number_phc","admin_proportion_phc","admin_number_shf","admin_number_thf","admin_number_shf_thf","admin_proportion_shf_thf","admin_number_total_hf","admin_proportion_total_hf","prev_u5_state","itn_campaign_eligable","itn_campaign_net_quantity","itn_campaign_net_proportion","itn_campaign_bale_quantity","itn_campaign_bale_proportion","itn_routine_eligable","itn_routine_net_quantity","itn_routine_net_quantity_eligable","itn_routine_net_proportion","lsm_bti_kg_quantity","lsm_bti_kg_proprotion","smc_eligable","smc_spaq_quantity_3_11_months","smc_spaq_quantity_12_59_months","smc_sqaq_quantity","pmc_eligable","pmc_sp_quantity_u1","pmc_sp_quantity_1_2_years","pmc_sp_total_quantity","iptp_sp_total_quantity","vacc_total_dose_quantity","cm_rdt_kit_quantity","cm_act_packs_quantity","cm_iv_artesunate_quantity","cm_ras_quantity","itn_campaign_net_procurement_cost","itn_campaign_net_distribution_procurement_cost","itn_campaign_campaign_cost","itn_campaign_storage_hardware_cost","itn_campaign_total_cost","itn_routine_net_procurement_cost","itn_routine_net_operational_cost","itn_routine_total_cost","irs_total_cost","lsm_bti_procurement_cost","lsm_operational_cost","lsm_total_cost","ento_surveillance_equipment_procurement_cost","ento_surveillance_total_cost","smc_spaq_3_11_months_procurement_cost","smc_spaq_12_59_months_procurement_cost","smc_spaq_total_procurement_cost","smc_campaign_cost","smc_total_cost","pmc_cost_per_child","pmc_total_cost","iptp_sp_procurement_cost","iptp_sp_distribution_cost","iptp_total_cost","vacc_procurement_cost","vacc_operational_cost","vacc_total_cost","cm_rdt_kits_procurement_cost","cm_rdt_kits_distribution_cost","cm_rdt_kits_total_cost","cm_al_procurement_cost","cm_al_distribution_cost","cm_al_total_cost","cm_iv_artesunate_procurement_cost","cm_iv_artesunate_distribution_cost","cm_iv_artesunate_total_cost","cm_ras_prcurement_cost","cm_ras_distribution_cost","cm_ras_total_cost","cm_eqa_national_cost","cm_public_total_cost","cm_private_total_cost","gf_wd_malaria_long_haul_distribution","gf_wd_malaria_warehouse_axial","gf_wd_malaria_warehouse_wib","gf_wd_total_cost","ss_sbc_total_cost","me_national_level_cost","me_state_level_cost","me_total_cost","cb_national_level_cost","cb_state_level_cost","cb_shf_thf_level_cost","cb_lga_phc_level_cost","cb_total_cost","gc_national_level_cost","gc_state_level_cost","gc_lga_level_cost","gc_total_cost","rm_total_cost","cost_total_ngn","cost_total_usd"
1,1,NA,"Benue","23","8","15","23","23","0","23","0","0","0","0","0","0","23","0",0,138,NA,4253641,3.04,7514013.71978729,18.4,1382578.52444086,1313449.59821882,399893.00706563,375700.685989364,1758279.21043022,300560.548791491,300560.548791491,601121.097582983,240448.439033193,1,0.027027027027027,23,0.0297157622739018,276,0.0313600727190092,34059,68.118,6811.8,1098,0.0402330438606134,25,3,28,0.0214395099540582,1126,0.0393747595901668,26,NA,NA,0,NA,0,NA,619008,619008.074082664,0.0366923751442729,81741.6,0.0369668928021794,NA,333384.485890504,1426144.74519827,1759529.23108877,NA,1599246.66414688,3198493.32829377,4797739.99244065,910321,864460.228012136,2210920.23951999,1717676.40917879,166399.942764181,13312.9954207906,0,0,0,NA,0,4377625181.31478,268005740.738411,4645630922.05319,0,8370340597.08196,823515000,9193855597.08196,NA,NA,154690397.761942,707367794.709728,862058192.47167,850972311.399916,1713030503.87159,2187518578.74158,2187518578.74158,611735716.413185,0,611735716.413185,5532545389.36689,323972634.297915,5856518023.66481,1202740613.17217,0,1202740613.17217,1181761372.41785,0,1181761372.41785,396697473.435271,0,396697473.435271,16401610.6479987,0,16401610.6479987,NA,2797601069.67328,3816113043.02951,8712768,12572352,38675328,59960448,468135639.131917,NA,107680894,107680894,NA,28313400,59458140,548635464,636407004,NA,169670420,33120000,202790420,NA,32237017411.661,20148135.8822881
1,2,NA,"Federal Capital Territory","6","6","0","6","6","0","0","0","6","0","0","0","5","1","0",0,36,NA,1406239,9.28,7591580.10009313,15.7,1191878.07571462,1132284.17192889,1132284.17192889,379579.005004656,1571457.08071928,303663.204003725,303663.204003725,607326.40800745,242930.56320298,1,0.027027027027027,6,0.00775193798449612,62,0.00704465401658902,7315,14.63,1463,291,0.010662855886556,24,3,27,0.0206738131699847,318,0.0111200475574361,31.3,NA,3985346,0.0426389317915921,79706.92,0.0427632649842187,NA,405775,405775.020842991,0.0240527545799958,17556,0.00793954082174881,NA,943967.43596598,4038082.92052113,4982050.35648711,NA,0,0,0,609975,873383.960827354,715513.045453306,1877994.11930047,181931.011557254,14554.0009245498,28184366912,630003410.053119,2327442064,NA,31141812386.0531,2869641000.76276,175684356.291042,3045325357.0538,0,1797734562.6018,214830000,2012564562.6018,NA,NA,438000879.836554,2002889131.66871,2440890011.50526,2409500696.24431,4850390707.74957,0,0,409903202.957124,0,409903202.957124,5589657278.66261,327316970.028161,5916974248.69077,389239097.656472,0,389239097.656472,1292059957.25249,0,1292059957.25249,433723542.360623,0,433723542.360623,17930529.4556245,0,17930529.4556245,NA,2132953126.72521,2909489253.23983,1957216,2824224,8687936,13469376,105160904.442677,NA,28090668,28090668,NA,28313400,57334635,145403388,231051423,NA,169670420,8640000,178310420,NA,52962026260.5139,33101266.4128212
1,3,NA,"Kogi","21","9","12","21","21","0","1","0","14","6","0","0","0","21","0",0,126,NA,3314043,3.03,5843437.93765221,18.8,1098566.33227862,1043638.01566469,526271.417195913,292171.896882611,1390738.22916123,233737.517506089,233737.517506089,467475.035012177,186990.014004871,1,0.027027027027027,21,0.0271317829457364,239,0.0271560049994319,32440,64.88,6488,947,0.0347000842768678,55,3,58,0.0444104134762634,1005,0.0351435465258594,46,NA,3193804,0.0341702805507261,63876.08,0.0342699195401497,NA,493239,493239.081274298,0.0292372816505721,77856,0.0352096656537979,NA,438744.17096754,1876850.06469448,2315594.23566202,NA,886417.576323876,1772835.15264775,2659252.72897163,609435,672266.498350312,1544344.4671112,1628780.4926502,157788.04772547,12623.0038180255,22586581888,504876467.699741,1865181536,NA,24956639891.6997,3488186847.63485,213552796.599546,3701739644.2344,0,7972455121.09395,751905000,8724360121.09395,NA,NA,203577290.471139,930917633.524759,1134494923.9959,1119905565.74403,2254400489.73993,1212480200.96133,1212480200.96133,409540322.954507,0,409540322.954507,4302505535.07434,251944440.430321,4554449975.50466,840123392.115511,0,840123392.115511,1120600981.69595,0,1120600981.69595,376166715.151368,0,376166715.151368,15551540.9783834,0,15551540.9783834,NA,2352442629.94121,3208887464.48245,7544752,10886928,33490592,51922272,405378325.190319,NA,98317338,98317338,NA,28313400,123163290,473185596,624662286,NA,169670420,30240000,199910420,NA,52703209109.8025,32939505.6936266
1,4,NA,"Kwara","16","11","5","16","16","0","1","0","5","10","0","0","3","13","0",0,96,NA,2365353,2.96,4117163.43478859,17.4,716386.437653215,680567.115770554,552558.166785913,205858.17173943,922244.609392644,164686.537391544,164686.537391544,329373.074783087,131749.229913235,1,0.027027027027027,16,0.020671834625323,186,0.0211339620497671,37700,75.4,7540,615,0.0225349016159173,51,2,53,0.0405819295558959,668,0.023359093611218,43.7,NA,NA,0,NA,0,NA,307576,307575.869729358,0.018231893362878,90480,0.0409187544743582,NA,460659.019046782,1970596.91481124,2431255.93385802,NA,236967.564363582,473935.128727163,710902.693090745,452173,473664.831384062,960227.586620109,759926.464252591,73618.0449745729,5889.00359769702,0,0,0,NA,0,2175176591.17355,133168051.03429,2308344642.20784,0,9265152838.01609,572880000,9838032838.01609,NA,NA,213745779.737265,977416071.254413,1191161850.99168,1175843768.36962,2367005619.36129,324134457.320253,324134457.320253,303860258.192109,0,303860258.192109,3031454882.55169,177514752.241,3208969634.79269,522363808.369242,0,522363808.369242,522829408.690042,0,522829408.690042,175505423.592871,0,175505423.592871,7255252.56046054,0,7255252.56046054,NA,1227953893.21262,1675010393.34203,5871648,8472672,26063808,40408128,315482713.328031,NA,74908448,74908448,NA,28313400,112545765,307295820,448154985,NA,169670420,23040000,192710420,NA,22284568302.773,13927855.1892331
1,5,NA,"Nasarawa","13","13","0","13","13","0","11","0","2","0","0","0","0","13","0",0,78,NA,1869377,3.05,3308329.9852746,19.1,631891.027187448,600296.475828076,600296.475828076,165416.49926373,797307.526451178,132333.199410984,132333.199410984,264666.398821968,105866.559528787,1,0.027027027027027,13,0.0167958656330749,147,0.0167026474264288,27117,54.234,5423.4,782,0.0286541350628412,22,2,24,0.0183767228177642,806,0.0281847746267091,32.1,NA,1837961,0.0196642132739808,36759.22,0.0197215532286681,NA,271008,271007.839038967,0.0160642836715706,65080.8,0.0294321980127631,NA,500457.693532459,2140846.80011108,2641304.49364353,NA,0,0,0,376037,380611.454817896,742602.031950848,491102.021129926,47575.0020469398,3806.00016375519,12998060192,290544835.390614,1073369224,NA,14361974251.3906,1916567473.32225,117335556.172172,2033903029.49442,0,6664274522.77142,465465000,7129739522.77142,NA,NA,232212364.257965,1061860014.49342,1294072378.75139,1277430889.0998,2571503267.85119,0,0,252696865.823006,0,252696865.823006,2435913280.05366,142641259.442169,2578554539.49583,403975506.34634,0,403975506.34634,337878191.367341,0,337878191.367341,113418807.706233,0,113418807.706233,4688992.28453464,0,4688992.28453464,NA,859961497.704449,1173044407.0342,4640496,6696144,20598816,31935456,249333112.146347,NA,60863114,60863114,NA,28313400,50964120,390740376,470017896,NA,169670420,18720000,188390420,NA,31929981923.7115,19956238.7023197
1,6,NA,"Niger","25","25","0","25","25","0","22","0","3","0","0","0","0","25","2",0,152,NA,3954772,3.42,7492169.35894569,19.9,1490941.70243019,1416394.61730868,1416394.61730868,374608.467947284,1865550.17037748,299686.774357828,299686.774357828,599373.548715655,239749.419486262,1,0.027027027027027,25,0.0322997416020672,274,0.0311328258152483,13930,27.86,2786,1338,0.0490271518082884,28,2,30,0.0229709035222052,1368,0.0478371857187817,43.8,NA,4162316,0.044532321163345,83246.32,0.0446621753935676,NA,548669,548669.050108997,0.0325229531884308,33432,0.0151193169715599,NA,1180825.82832471,5051310.48783349,6232136.3161582,NA,0,0,0,689311,861947.112937009,1783301.64407949,1530172.69460027,148235.970414303,11858.9976331203,29435898752,657978823.850842,2430792544,NA,32524670119.8508,3880187594.52312,237551756.352479,4117739350.8756,0,3423437109.64361,895125000,4318562109.64361,NA,NA,547903171.268497,2505450005.83103,3053353177.09953,3014087718.58757,6067440895.6871,0,0,463216995.341741,0,463216995.341741,5516461453.08932,323030797.432783,5839492250.52211,970116096.696806,0,970116096.696806,1052758816.47094,0,1052758816.47094,353394562.274079,0,353394562.274079,14610285.3419615,0,14610285.3419615,NA,2390879760.78379,3261318255.25354,8649632,12481248,38395072,59525952,464743351.891831,NA,117044450,117044450,NA,28313400,63705150,668555784,760574334,NA,169670420,36000000,205670420,NA,60531352293.8502,37832095.1836564
1,7,NA,"Plateau","17","17","0","17","17","0","17","0","0","0","0","0","3","14","0",0,102,NA,3206531,2.94,5560765.19568392,17.1,950890.84846195,903346.306038852,903346.306038852,278038.259784196,1228929.10824615,222430.607827357,222430.607827357,444861.215654713,177944.486261885,1,0.027027027027027,17,0.0219638242894057,207,0.0235200545392569,58030,116.06,11606,972,0.035616137188084,23,2,25,0.0191424196018377,997,0.0348637969017729,37.2,NA,NA,0,NA,0,NA,411280,411280.036226238,0.0243790703391504,139272,0.0629844913036341,NA,753105.551981864,3221618.19458909,3974723.74657095,NA,0,0,0,445215,639746.01700873,970350.845360721,898767.856768494,87067.9861244717,6964.99889002786,0,0,0,NA,0,2908572470.27702,178067807.795693,3086640278.07271,0,14261454089.9224,608685000,14870139089.9224,NA,NA,349440967.781158,1597922626.9816,1947363594.76275,1922320922.00176,3869684516.76451,0,0,299184482.158377,0,299184482.158377,4094374457.11822,239756781.973095,4334131239.09132,527870861.137291,0,527870861.137291,618352286.975622,0,618352286.975622,207570084.093262,0,207570084.093262,8580878.78401722,0,8580878.78401722,NA,1362374110.99019,1858368468.18284,6534576,9429264,29006496,44970336,351101729.348938,NA,79590226,79590226,NA,28313400,53087625,485677296,567078321,NA,169670420,24480000,194150420,NA,30872442881.5313,19295276.800957
2,1,NA,"Adamawa","21","2","0","21","21","0","21","0","0","0","0","0","0","21","0",0,107,NA,3178950,2.89,5462278.9412483,17.6,961361.093659702,913293.038976716,913293.038976717,273113.947062415,1234475.04072212,218491.157649932,218491.157649932,436982.315299864,174792.926119946,1,0.027027027027027,21,0.0271317829457364,226,0.0256789001249858,36917,73.834,7383.4,795,0.0291304825766736,21,1,22,0.0168453292496172,817,0.028569430359828,38.9,NA,NA,0,NA,0,NA,414857,414857.013685053,0.0245910995586334,88600.8,0.0400689034198907,NA,761397.986178484,3257091.38531907,4018489.37149755,NA,0,0,0,552744,628415.527986429,1163749.11337716,1197413.11665685,115999.011301095,9280.00090409537,0,0,0,NA,0,2933868855.33614,179616495.985059,3113485351.3212,0,9072722740.61114,751905000,9824627740.61114,NA,NA,353288657.156575,1615517329.61081,1968805986.76739,1943487569.50361,3912293556.271,0,0,371443970.679672,0,371443970.679672,4021859328.29182,235510469.352236,4257369797.64405,633079519.189575,0,633079519.189575,823820226.283514,0,823820226.283514,276541649.833062,0,276541649.833062,11432961.3157044,0,11432961.3157044,NA,1744874356.62185,2380124122.38962,7134368,10294752,31668928,49098048,383328458.129758,NA,98317338,98317338,NA,28313400,46717110,397236060,472266570,NA,169670420,30240000,199910420,NA,26758041681.6683,16723776.0510427
2,2,NA,"Bauchi","20","20","0","20","20","0","20","0","0","0","0","0","1","19","2",0,122,NA,4653066,3.39,8766603.89092317,20,1753320.77818463,1665654.7392754,1665654.7392754,438330.194546159,2191650.97273079,350664.155636927,350664.155636927,701328.311273854,280531.324509542,1,0.027027027027027,20,0.0258397932816537,212,0.0240881717986592,64605,129.21,12921,1111,0.0407093913744458,28,4,32,0.0245022970903522,1143,0.0399692275413505,48.6,NA,NA,0,NA,0,NA,663102,663101.991749478,0.0393060899508351,155052,0.0701208523293345,NA,1388630.05632223,5940250.79648954,7328880.85281177,NA,0,0,0,609621,1008566.2178767,2807021.64487928,2931906.62907989,284028.96406705,22721.9971254045,0,0,0,NA,0,4689457372.85302,287096643.686431,4976554016.53945,0,15877326236.0751,716100000,16593426236.0751,NA,NA,644324330.758525,2946364399.60471,3590688730.36324,3544513253.37326,7135201983.7365,0,0,409665314.955408,0,409665314.955408,6454823712.84596,377979048.522304,6832802761.36826,1527019778.46231,0,1527019778.46231,2017151765.76182,0,2017151765.76182,677125067.209396,0,677125067.209396,27993500.952748,0,27993500.952748,NA,4249290112.38627,5796312990.18175,6692416,9657024,29707136,46056576,359582447.449154,NA,93635560,93635560,NA,28313400,67952160,555131148,651396708,NA,169670420,28800000,198470420,NA,47296338550.6919,29560211.5941824
2,3,NA,"Borno","27","27","0","27","27","0","27","0","0","0","0","0","1","26","0",0,162,NA,4171104,3.47,7974905.60246315,19.1,1523206.97007046,1447046.62156694,1447046.62156694,398745.280123158,1921952.25019362,318996.224098526,318996.224098526,637992.448197052,255196.979278821,1,0.027027027027027,27,0.0348837209302326,312,0.0354505169867061,71130,142.26,14226,342,0.012531603825437,36,2,38,0.0290964777947933,380,0.013288107144106,16.2,NA,4336180,0.0463924796632628,86723.6,0.0465277580313652,NA,488691,488691.063616246,0.0289676929698116,170712,0.0772029444498965,NA,1206379.92029581,5160625.21459873,6367005.13489453,NA,0,0,0,606682,917484.179903217,948388.981365078,2714444.94666379,262961.994833052,21036.9995866434,30665464960,685463241.235299,2532329120,NA,33883257321.2353,3456023266.15903,211583686.8377,3667606952.99673,0,17480910381.1163,966735000,18447645381.1163,NA,NA,559760269.660148,2559670110.39024,3119430380.05039,3079315183.06386,6198745563.11425,0,0,407690306.94116,0,407690306.94116,5871898677.18165,343844351.721563,6215743028.90321,515923607.09512,0,515923607.09512,1867538127.89204,0,1867538127.89204,626901411.304003,0,626901411.304003,25917583.9483422,0,25917583.9483422,NA,3036280730.23951,4141687899.16831,9849216,14212224,43719936,67781376,529196809.453471,NA,126408006,126408006,NA,28313400,80693190,170886456,279893046,NA,169670420,38880000,208550420,NA,77142705465.1682,48214190.9157301
